AUTHOR,GENDER,RACE,PERIOD,VOL,NOVELS
Norman Mailer,M,W,C20,3,"naked and the, executioner's song, ancient evenings, barbary shore, the deer park, american dream, advertisements for myself"
Donald Barthelme,M,W,C20,3,"snow white, the dead father, the emerald, paradise, the king, stories, the balloon"
Ernest Gaines,M,B,C20,3,"Miss Jane Pittman, lesson before dying, gathering of old"
Scott Momaday,M,P,C20,3,"Made of Dawn, Way to Rainy"
Tomas Rivera,M,P,C20,3,Did not Swallow
Frank Chin,M,P,C20,3,"The Chinaman Pacific, Donald Duk"
James Welch,M,P,C20,3,"in the Blood, Fools Crow"
John Edgar Wideman,M,B,C20,3,"Philadelphia Fire, The Cattle Killing, Sent for you, Hiding Place, Damballah"
Lee Smith,F,W,C20,3,Fair and Tender
Richard Rodriguez,M,P,C20,3,Hunger of Memory
Jessica Hagedorn,F,P,C20,3,"Dogeaters, Gangster of Love"
Karen Tei Yamashita,F,P,C20,3,"Tropic of Orange, Through the Arc"
Helena Maria Viramontes,F,P,C20,3,Under the Feet
Gish Jen,F,P,C20,3,"Typical American, Mona in the"
David Foster Wallace,M,W,C20,3,"Infinite Jest, Girl with Curious, Broom of the"
Chang-Rae Lee,M,P,C20,3,"Native Speaker, A Gesture Life"
Sherman Alexie,M,P,C20,3,"Ranger and Tonto, Reservation Blues, Indian Killer"
Minh Duc Nguyen,M,P,C20,3,Tale of Apricot
Isaac Singer,,,,,"Crown of Feathers, Magician of Lublin, Slave, Enemies a Love, The Family Moskat, Satan in Goray"
Leslie Silko,,,,,"ceremony, almanac of the, storyteller, yellow woman"
Hannah Foster,,,,,The Coquette
Susanna Rowson,,,,,Charlotte Temple
Catherine Sedgwick,,,,,"Hope Leslie, Clarence, Live and Let, the linwoods"
John Oskison,,,,,"problem of old, the singing bird, old indian territory, tecumseh and his"
John Wideman,,,,,"Philadelphia Fire, The Cattle Killing, Sent for you, Hiding Place, Damballah"
Charles Chesnutt,,,,,"marrow of tradition, goophered grapevine, conjure woman"
Mary Wilkins Freeman,,,,,"a humble romance, new england nun"
