"docid"	"actualdate"	"earliestdate"	"firstpub"	"tags"	"recordid"	"OCLC"	"author"	"enumcron"	"title"	"gender"	"nationality"	"authsvols"
"uiuo.ark+=13960=t9v12mr3w"	1865	1865	1865	"elite"	8720221	38000072	"Foxton, E"	"v.1"	"Herman, or, Young knighthood"	"u"		2
"uc1.b4102980"	1865	1865	1865	"elite"	6155301	9106136	"Ingelow, Jean"		"Studies for stories"	"f"	"uk"	24
"mdp.39015011425355"	1865	1865	1865	"elite"	448871	66290810	"Braddon, M. E"	"v.2"	"Only a clod, in three vols"	"f"	"uk"	273
"mdp.39015011425348"	1865	1865	1865	"elite"	448871	66290810	"Braddon, M. E"	"v.3"	"Only a clod, in three vols"	"f"	"uk"	273
"uc1.b111926"	1865	1865	1865	"vulgar"			"Thomas, Annie"		"On guard"	"f"	"uk"	31
"uiuo.ark+=13960=t4rj4zt7g"	1865	1865	1865	"vulgar"			"Manning, Anne"		"Belforest"	"f"	"uk"	66
"njp.32101035036068"	1865	1865	1865	"vulgar"			"Ritner, W. D"		"Juan, the white slave;"		"us"	1
"mdp.39015069171505"	1865	1865	1865	"vulgar"			"Couperthwaite, S. L"		"Resolution, or, The depth of woman's love"	"m"	"uk"	1
"uc2.ark+=13960=t2t43pd6v"	1865	1865	1865	"vulgar"	7691831	12845139	"Reid, Mayne"		"The cliff-climbers; or, The lone home in the Himalayas"	"m"	"us"	177
"uc2.ark+=13960=t5bc3w39n"	1866	1866	1866	"vulgar"			"Tytler, Sarah"		"Days of yore"	"f"	"uk"	50
"uiuo.ark+=13960=t73t9tx1v"	1866	1866	1866	"vulgar"			"Armstrong, F. C"		"Our blue jackets, afloat and ashore"	"m"	"uk"	21
"uc2.ark+=13960=t8rb7005b"	1866	1866	1866	"elite"	6501713	3689996	"Charles, Elizabeth Rundle"		"Winifred Bertram and the world she lived in"	"f"	"uk"	41
"nyp.33433075762694"	1866	1866	1866	"elite"	8667890	7570984	"Trollope, Anthony"		"The Belton estate"	"m"	"uk"	670
"uiuo.ark+=13960=t2b85k82p"	1866	1866	0	"vulgar"			"Chorley, Henry Fothergill"		"A prodigy"	"m"	"uk"	14
"nc01.ark+=13960=t6252110d"	1866	1866	0	"vulgar"			"Optic, Oliver"		"The Yankee middy"	"m"	"us"	110
"nyp.33433075762322"	1866	1866	1866	"vulgar"			"Wood, Ellen"		"Elster's folly"	"f"	"uk"	232
"uiuo.ark+=13960=t8pc3nw52"	1866	1866	1866	"elite"	8720885	13404042	"Yates, Edmund Hodgson"	"v.1"	"Land at last"	"m"	"uk"	44
"nyp.33433074945779"	1873	1866	1866	"elite"	8663981	291965	"Collins, Wilkie"		"Armadale"	"m"	"uk"	231
"uc2.ark+=13960=t9b56gq8f"	1901	1866	1866	"elite"	7683677	3055489	"Whyte-Melville, G. J"		"Cerise"	"m"	"uk"	223
"nc01.ark+=13960=t8z89qp4f"	1866	1866	1866	"vulgar"			"McLeod, Isabella"		"Westfield"	"f"	"uk"	1
"uiuo.ark+=13960=t8mc9d00r"	1866	1866	1866	"vulgar"			"Harwood, John Berwick"		"Plain John Orpington"	"m"	"uk"	12
"dul1.ark+=13960=t5x64812v"	1866	1866	0	"vulgar"			"Skene, Felicia"		"Hidden depths"	"f"	"uk"	5
"uiuo.ark+=13960=t0bv85013"	1866	1866	1866	"elite"	8720885	13404042	"Yates, Edmund Hodgson"	"v.2"	"Land at last"	"m"	"uk"	44
"njp.32101066696376"	1866	1866	1866	"vulgar"			"[Anderson, I. H.]"		"Patriotism at home;"			2
"njp.32101068970753"	1866	1866	1866	"vulgar"			"Buntline, Ned"		"The beautiful nun"	"m"	"us"	8
"wu.89098020795"	1866	1866	1866	"elite"	123313	4343007	"Dodge, Mary Mapes"		"Hans Brinker;"	"f"	"us"	22
"uiuo.ark+=13960=t7wm1z13v"	1866	1866	1866	"vulgar"			"Viles, Edward"		"Blueskin"	"m"	"uk"	5
"uva.x000722401"	1866	1866	1866	"vulgar"			"Goodwin, H. B"		"Sherbrooke"	"f"	"us"	6
"uiuo.ark+=13960=t3708f59s"	1866	1866	1866	"elite"	6130878	3918899	"Edwards, Amelia Ann Blanford"	"v.1"	"Half a million of money ;"	"f"	"uk"	47
"nyp.33433082170592"	1866	1866	1866	"vulgar"			"Arnold, Augustus C. L"		"The signet of King Solomon; or, The freemason's daughter"	"m"	"us"	2
"uc2.ark+=13960=t3jw86z32"	1866	1866	1866	"vulgar"			"Optic, Oliver"		"Haste and waste;"	"m"	"us"	110
"uc2.ark+=13960=t17m0473p"	1866	1866	1866	"vulgar"			"Maria"		"Bessie and Raymond;"			4
"uiuo.ark+=13960=t2q538k90"	1866	1866	1866	"elite"	8720885	13404042	"Yates, Edmund Hodgson"	"v.3"	"Land at last"	"m"	"uk"	44
"nyp.33433074901749"	1866	1866	1866	"elite"	8667425	4568191	"Merritt, Henry"		"Robert Dalby and his world of troubles"	"m"	"uk"	1
"nyp.33433084128267"	1866	1866	1866	"elite"	8667634	5130688	"Riddell, J. H"		"Maxwell Drewitt"	"f"	"uk"	62
"uiuo.ark+=13960=t6154zd7b"	1866	1866	1866	"elite"	6130878	3918899	"Edwards, Amelia Ann Blanford"	"v.3"	"Half a million of money ;"	"f"	"uk"	47
"uiuo.ark+=13960=t4jm2n11m"	1866	1866	1866	"elite"	6130878	3918899	"Edwards, Amelia Ann Blanford"	"v.2"	"Half a million of money ;"	"f"	"uk"	47
"mdp.39015006969649"	1903	1867	1867	"vulgar"			"Kemble, Adelaide"		"A week in a French country-house"	"f"	"uk"	3
"nyp.33433082530654"	1868	1867	1867	"vulgar"			"Eyster, Nellie Blessing"		"On the wing"	"f"	"us"	3
"njp.32101068167889"	1868	1867	1867	"vulgar"			"Castlemon, Harry"		"Frank on the lower Mississippi"	"m"	"us"	68
"uiuo.ark+=13960=t7tm7kz9z"	1868	1867	1867	"vulgar"			"Fullom, S. W"		"Time will tell;"	"m"	"uk"	8
"nc01.ark+=13960=t3mw2v80v"	1867	1867	1867	"elite"	10939004	1634478	"De Forest, John William"		"Miss Ravenel's conversion from secession to loyalty"	"m"	"us"	14
"nyp.33433076061112"	1867	1867	1867	"vulgar"			"Warfield, Catherine Ann Ware"		"The romance of Beauseincourt"	"f"	"us"	11
"uiuo.ark+=13960=t42r4bj1d"	1867	1867	1867	"vulgar"			"Kirkus, William"		"Only to be married"	"m"	"uk"	3
"uc2.ark+=13960=t1dj5fc10"	1867	1867	1867	"elite"	7691435	2276728	"Ritchie, Anne Thackeray"		"The village on the cliff"	"f"	"uk"	46
"uiuo.ark+=13960=t6sx6t891"	1868	1868	1868	"elite"	629962	7513924	"MacDonald, George"	"v.2"	"Robert Falconer"	"m"	"uk"	144
"uc1.b3123856"	1868	1868	1868	"vulgar"			"Houstoun"		"Sink or swim?"	"f"	"uk"	8
"uc2.ark+=13960=t1dj5fd8t"	1902	1868	1868	"presentaselite"			"Whyte-Melville, G. J"		"The white rose"	"m"	"uk"	223
"uc2.ark+=13960=t5q815w5z"	1869	1868	1868	"vulgar"			"Dickinson, Anna E"		"What answer?"	"f"	"us"	6
"uiuo.ark+=13960=t7zk5np7c"	1868	1868	1868	"vulgar"			"Blaze de Bury, Marie Pauline Rose"		"All for greed"	"f"	"uk"	2
"uva.x000230249"	1907	1868	1868	"elite"			"Turgenev, Ivan Sergeevich"		"The brigadier"	"m"	"russian"	391
"uiuo.ark+=13960=t3708kh4h"	1868	1868	1868	"elite"	629962	7513924	"MacDonald, George"	"v.1"	"Robert Falconer"	"m"	"uk"	144
"uiuo.ark+=13960=t8kd2h12s"	1868	1868	1868	"elite"	6502421	3436555	"Lever, Charles James"	"v.3"	"The Bramleighs of Bishop's Folly"	"m"	"ir"	550
"uiuo.ark+=13960=t86h55691"	1868	1868	1868	"elite"	6502421	3436555	"Lever, Charles James"	"v.1"	"The Bramleighs of Bishop's Folly"	"m"	"ir"	550
"uc1.b4109141"	1868	1868	1868	"elite"	114757	33412514	"Edwards, Amelia Ann Blanford"		"Norwood;"	"f"	"uk"	47
"uiuo.ark+=13960=t50g48799"	1868	1868	1868	"elite"	6502421	3436555	"Lever, Charles James"	"v.2"	"The Bramleighs of Bishop's Folly"	"m"	"ir"	550
"uiuo.ark+=13960=t7jq17z93"	1868	1868	1868	"vulgar"			"Capes, J. M"		"The mosaic-worker's daughter"	"m"	"uk"	3
"uiuo.ark+=13960=t2r50508t"	1868	1868	1868	"elite"	629962	7513924	"MacDonald, George"	"v.3"	"Robert Falconer"	"m"	"uk"	144
"uiuo.ark+=13960=t3pv7527f"	1868	1868	1868	"vulgar"			"Tabor, Eliza"		"Jeanie's quiet life"	"f"	"uk"	61
"uiuo.ark+=13960=t6k07g132"	1869	1869	1869	"vulgar"	8722955	21300513	"Gibbon, Charles"	"v.2"	"Robin Gray"	"m"	"uk"	37
"uiuo.ark+=13960=t3611dm26"	1869	1869	1869	"vulgar"	8722955	21300513	"Gibbon, Charles"	"v.3"	"Robin Gray"	"m"	"uk"	37
"uc2.ark+=13960=t2v40kg0s"	1873	1869	1869	"vulgar"			"Droz, Gustave"		"Around a spring"	"m"	"french"	5
"nyp.33433074940838"	1886	1869	1869	"elite"	8663855	7315096	"Blackmore, R. D"		"Lorna Doone"	"m"	"uk"	108
"njp.32101068972775"	1871	1869	1869	"elite"	8975912	37267792	"Lawrence, George A"		"Anteros"	"m"	"uk"	24
"njp.32101065841254"	1876	1869	1869	"elite"	9244901	35757253	"Scudder, Horace Elisha"		"Stories from my attic"	"m"	"us"	35
"uiuo.ark+=13960=t0pr8g01w"	1869	1869	1870	"elite"	8721745	30059355	"McCarthy, Justin"	"v.1"	"My enemy's daughter"	"m"	"uk"	42
"njp.32101064632746"	1869	1869	1869	"vulgar"			"Sikes, Wirt"		"One poor girl"	"m"	"us"	1
"uiuo.ark+=13960=t3cz3kz69"	1869	1869	1869	"vulgar"	8722955	21300513	"Gibbon, Charles"	"v.1"	"Robin Gray"	"m"	"uk"	37
"uiuo.ark+=13960=t4zg79m6r"	1869	1869	1870	"elite"	8721745	30059355	"McCarthy, Justin"	"v.2"	"My enemy's daughter"	"m"	"uk"	42
"nyp.33433074858089"	1869	1869	1869	"elite"	4050187	10655867	"Helps, Arthur"		"Realmah"	"m"	"uk"	14
"uc2.ark+=13960=t5q815z5v"	1869	1869	1869	"elite"	7025385	2393247	"Harte, Bret"		"The luck of Roaring Camp"	"m"	"us"	474
"wu.89098011976"	1869	1869	1870	"elite"	5946349	35851869	"Berriedale"		"Unforgiven"			2
"uiuo.ark+=13960=t96694c25"	1869	1869	1870	"elite"	8721745	30059355	"McCarthy, Justin"	"v.3"	"My enemy's daughter"	"m"	"uk"	42
"uc2.ark+=13960=t3st7kr2j"	1869	1869	1869	"vulgar"			"Hemyng, Bracebridge"		"Held in thrall"	"m"	"uk"	18
"nyp.33433075752299"	1869	1869	1869	"vulgar"			"Speight, T. W"		"Under lock and key"	"m"	"uk"	12
"uiuo.ark+=13960=t13n2tm28"	1869	1869	1869	"vulgar"			"Veitch, Sophie F. F"		"Wise as a serpent"	"f"	"uk"	4
"uc2.ark+=13960=t5q81d957"	1869	1869	1869	"vulgar"			"Jerrold, Blanchard"		"Cent per cent"	"m"	"uk"	5
"nyp.33433082548342"	1869	1869	1869	"vulgar"			"Griswold, F. Burge"		"May"	"f"	"us"	7
"uc2.ark+=13960=t0ks6ps96"	1870	1870	1870	"elite"	473280	1932841	"Disraeli, Benjamin"	"v.1"	"Lothair"	"m"	"uk"	285
"uc2.ark+=13960=t6d21xm9t"	1870	1870	1870	"elite"	473280	1932841	"Disraeli, Benjamin"	"v.2"	"Lothair"	"m"	"uk"	285
"uc2.ark+=13960=t2j67fx2g"	1870	1870	1870	"elite"	473280	1932841	"Disraeli, Benjamin"	"v.3"	"Lothair"	"m"	"uk"	285
"nnc1.cu55529143"	1870	1870	1870	"vulgar"			"Bradford, O. K"		"Mystery explained; or, Additional evidence"	"m"	"us"	1
"uc2.ark+=13960=t6sx69c95"	1870	1870	1870	"vulgar"			"Wood, Ellen"		"Bessy Rane"	"f"	"uk"	232
"nyp.33433082174727"	1871	1870	1870	"vulgar"			"Clemmer, Mary"		"Eirene;"	"f"	"us"	5
"njp.32101067707925"	1874	1870	1870	"elite"	8964924	29263469	"Benedict, Frank Lee"		"Miss Van Kortland"	"m"	"us"	13
"uc1.$b799928"	1878	1870	1870	"elite"	7939769	11453790	"Swift, John Franklin"		"Robert Greathouse"	"m"	"us"	1
"uiuo.ark+=13960=t0qr5b28p"	1870	1870	0	"vulgar"			"Leigh, Alfred"		"Maud Atherton"	"m"	"uk"	4
"uc1.b3578514"	1870	1870	0	"vulgar"			"Ainsworth, William Harrison"		"Mervyn Clithero"	"m"	"uk"	319
"uiuo.ark+=13960=t59c77k98"	1870	1870	1870	"vulgar"			"Bothmer, Marie"		"Strong hands and steadfast hearts"	"f"	"uk"	6
"nyp.33433008143475"	1870	1870	1870	"vulgar"			"Stretton, Hesba"		"Nelly's dark days"	"f"	"uk"	27
"nyp.33433074857800"	1870	1870	1870	"elite"	8668991	37255734	"Neil, Ross"		"The heir expectant"	"f"	"uk"	10
"nyp.33433075936462"	1870	1870	1870	"elite"	8677652	9670298	"Jenkins, Edward"		"Ginx's baby"	"m"	"uk"	15
"nyp.33433075761985"	1870	1870	1870	"vulgar"	8670086	37302554	"Smart, Hawley"		"A race for a wife"	"m"	"uk"	78
"uc2.ark+=13960=t53f4mh08"	1870	1870	1870	"vulgar"			"Bradley, Mary E"		"A wrong confessed is half redressed"	"f"	"us"	5
"nyp.33433082523873"	1870	1870	1870	"elite"	1421444	639586	"Alcott, Louisa May"		"an old-fashioned girl"	"f"	"us"	79
"uc1.b4102284"	1870	1870	1870	"vulgar"			"Taylor, Winifred"		"Rupert Rochester, the banker's son"			1
"uiuo.ark+=13960=t39z9hj0v"	1870	1870	1870	"vulgar"			"Author of No appeal"		"Gerald Hastings of Barton"	"u"		3
"nc01.ark+=13960=t1gh9wn1r"	1870	1870	1870	"vulgar"			"Chaplin, Jane Dunbar"		"Out of the wilderness"	"f"	"us"	4
"uva.x030765011"	1873	1871	1871	"elite"	9780146	20139664	"Poynter, E. Frances"		"My little lady"	"f"	"uk"	7
"uc2.ark+=13960=t7cr5nx0k"	1871	1871	1871	"elite"	1027313	273993	"Eggleston, Edward"		"The Hoosier school-master"	"m"	"us"	52
"uc1.$b809207"	1871	1871	1871	"elite"	7939028	606865	"Harris, Miriam Coles"		"Richard Vandermarck"	"f"	"us"	41
"njp.32101069165684"	1871	1871	1871	"vulgar"			"Edwards, C. R"		"A story of Niagara"	"m"	"us"	1
"uc2.ark+=13960=t5db83h0b"	1872	1871	1871	"elite"	7695411	364205167	"Parr, Louisa Taylor"		"Dorothy Fox"	"f"	"uk"	2
"nc01.ark+=13960=t8mc9bp1c"	1871	1871	1871	"elite"	8659219	4995484	"De Forest, John William"		"Overland"	"m"	"us"	14
"uc2.ark+=13960=t3vt1j63s"	1871	1871	1871	"vulgar"			"Leavitt, John McDowell"		"The American cardinal"	"m"	"us"	8
"uiuo.ark+=13960=t73v07t79"	1871	1871	1871	"elite"	8719394	22365421	"Yates, Edmund Hodgson"	"v.3"	"Dr. Wainwright's patient"	"m"	"uk"	44
"uc2.ark+=13960=t48p5zc15"	1871	1871	1871	"vulgar"			"Volckhausen, Adeline"		"Why did he not die?, or, The Child from the Ebräergang"	"f"	"german"	2
"nyp.33433034394472"	1871	1871	1871	"elite"	8609374	38391337	"Ward, Elizabeth Stuart Phelps"		"The gates ajar; or, A glimpse into heaven"	"f"	"us"	3
"uiuo.ark+=13960=t1fj3570z"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v.2: pt. 1"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"uiuo.ark+=13960=t8hd8hf4s"	1871	1871	1871	"elite"	8719394	22365421	"Yates, Edmund Hodgson"	"v.2"	"Dr. Wainwright's patient"	"m"	"uk"	44
"uiuo.ark+=13960=t4rj5462f"	1871	1871	1871	"elite"	8719394	22365421	"Yates, Edmund Hodgson"	"v.1"	"Dr. Wainwright's patient"	"m"	"uk"	44
"mdp.49015002676170"	1871	1871	1871	"vulgar"			"Alger, Horatio"		"Paul the peddler"	"m"	"us"	101
"uiuo.ark+=13960=t8hd8j356"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v.1: pt. 1"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"wu.89098014699"	1871	1871	1871	"elite"	5946416	6059491	"Chesebro', Caroline"		"The foe in the household"	"f"	"us"	11
"uiuo.ark+=13960=t3gx4pc1g"	1871	1871	1871	"vulgar"			"Fenn, George Manville"		"By birth a lady"	"m"	"uk"	68
"uiuo.ark+=13960=t99606c4g"	1871	1871	1871	"vulgar"			"Pomeroy, John"		"The Scandinavian ring. A novel"	"m"	"uk"	3
"nyp.33433076079544"	1871	1871	1871	"vulgar"			"Hazlett, Helen"		"The heights of Eidelberg"	"f"	"us"	3
"uiuo.ark+=13960=t0ks7cx66"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v.4: pt. 1"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"uiuo.ark+=13960=t4xh0999j"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v.1: pt. 2"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"uiuo.ark+=13960=t1tf0h21k"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v.2: pt. 2"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"uiuo.ark+=13960=t51g1d15h"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v.3: pt. 2"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"uiuo.ark+=13960=t3bz6fw2n"	1871	1871	1871	"vulgar"			"Bell, Emily Ernst"		"A first appearance"	"f"	"uk"	3
"njp.32101065848267"	1871	1871	1871	"vulgar"			"Murray, Eustace Clare Grenville"		"The member for Paris"	"m"	"uk"	15
"nyp.33433074808670"	1871	1871	1871	"vulgar"			"Brotherhead, Alfred P[axton]"		"Himself his worst enemy"			2
"uiuo.ark+=13960=t2x35dr9t"	1871	1871	1871	"vulgar"			"Scott, Geo. G"		"Clumber chase; or, Love's riddle solved by a royal sphinx"	"m"	"uk"	3
"uc2.ark+=13960=t9t14ws52"	1871	1871	1871	"vulgar"			"Weitzel, Sophie Winthrop"		"Miss Roberts' fortune"	"f"	"us"	1
"uiuo.ark+=13960=t9w09kf0m"	1871	1871	1871	"vulgar"			"Marryat, Florence"		"The prey of the gods"	"f"	"uk"	83
"nyp.33433074896105"	1871	1871	1871	"vulgar"			"McLain, Mary Webster"		"Daisy Ward's work"			1
"uiuo.ark+=13960=t50g4c509"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v. 3 PT.1"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"dul1.ark+=13960=t1fj34z1f"	1871	1871	1871	"elite"	10943835	7017241	"Lytton, Edward Bulwer Lytton"		"The coming race"	"m"	"uk"	671
"uc2.ark+=13960=t5fb4z81t"	1871	1871	1871	"vulgar"			"Greey, Edward"		"Blue jackets"	"m"	"uk"	11
"uiuo.ark+=13960=t6834h65s"	1871	1871	1871	"elite"	8721591	308073	"Eliot, George"	"v.4: pt 2"	"Middlemarch: a study of provincial life"	"f"	"uk"	562
"uc2.ark+=13960=t3610xb6c"	1871	1871	1871	"vulgar"			"Harbert, Lizzie Boynton"		"Out of her sphere"	"f"	"us"	1
"nyp.33433074961974"	1872	1872	1872	"vulgar"			"anonymous3"		"Only three weeks"			0
"uc2.ark+=13960=t4mk66200"	1872	1872	1872	"vulgar"			"Mathews, Joanna Hooe"		"Jessie's parrot"	"f"	"us"	6
"uiuo.ark+=13960=t06x0132p"	1872	1872	1872	"vulgar"			"Tucker, Marwood"		"Michael Tresidder"	"m"	"uk"	2
"wu.89098026875"	1872	1872	1872	"vulgar"			"Greenough, Richard S., Mrs"		"In extremis"	"f"	"us"	5
"nyp.33433074890074"	1889	1872	1872	"elite"	8667272	28136856	"Meredith, George"		"The adventures of Harry Richmond"	"m"	"uk"	500
"uc2.ark+=13960=t6n010f2h"	1873	1872	1872	"vulgar"			"Dorr, Julia C. R"		"Expiation"	"f"	"us"	7
"uc1.b2791154"	1872	1872	1872	"elite"	7369164	7023826	"Shand, Alexander Innes"	"v. 1-3"	"Shooting the rapids"	"m"	"uk"	5
"nyp.33433081962098"	1872	1872	1872	"vulgar"			"Wright, Julia McNair"		"Marion through the brush"	"f"	"us"	17
"njp.32101067643351"	1872	1872	1872	"vulgar"			"Estvan, Mathilde"		"Harry Delaware"	"f"	"us"	2
"uiuo.ark+=13960=t9668r34m"	1872	1872	1872	"vulgar"			"Chatterton, Georgiana"		"The lost bride"	"f"	"uk"	32
"nnc1.cr60162589"	1872	1872	1872	"vulgar"			"Paull, M. A"		"My parish and what happened in it / Mary Anna (Paull) Ripley"	"f"	"uk"	1
"uc2.ark+=13960=t5m902m17"	1872	1872	1872	"elite"	7655471	274709	"De Mille, James"		"The American baron"	"m"	"ca"	25
"uiuo.ark+=13960=t9k36cm5w"	1872	1872	1872	"elite"	8720219	47530505	"Palgrave, William Gifford"	"v.2"	"Hermann Agha: an eastern narrative"	"m"	"uk"	4
"nyp.33433076066061"	1872	1872	1872	"elite"	8690283	6155541	"Flagg, W. J"		"A good investment"	"m"	"us"	1
"uc2.ark+=13960=t4bp0174c"	1872	1872	1872	"vulgar"			"Burnand, F. C"		"Happy-thought hall"	"m"	"uk"	24
"nyp.33433034410518"	1872	1872	1872	"elite"	8609555	38453555	"Edwards, Annie"		"Ought we to visit her?"	"f"	"uk"	29
"dul1.ark+=13960=t3jw91q2r"	1872	1872	1872	"elite"	10942413	2735354	"Butler, Samuel"		"Erewhon, or, Over the range"	"m"	"uk"	52
"uiuo.ark+=13960=t7jq1jx3g"	1872	1872	1872	"elite"	8720219	47530505	"Palgrave, William Gifford"	"v.1"	"Hermann Agha: an eastern narrative"	"m"	"uk"	4
"nyp.33433082521166"	1872	1872	1872	"elite"	8692446	332921	"Diaz, Abby Morton"		"William Henry and his friends"	"f"	"us"	13
"uiuo.ark+=13960=t7vm4tf4w"	1873	1873	1873	"elite"	8721494	21920824	"Oliphant, Margaret"	"v.3"	"May"	"f"	"uk"	305
"njp.32101067644789"	1873	1873	1873	"vulgar"			"Fogerty, J"		"Lauterdale"	"m"	"uk"	7
"uc2.ark+=13960=t3tt4g49s"	1873	1873	1873	"vulgar"			"Optic, Oliver"		"In school and out;"	"m"	"us"	110
"nyp.33433074866538"	1873	1873	1873	"elite"	8665630	6218208	"Kip, Leonard"		"The dead marquise;"	"m"	"us"	4
"uiuo.ark+=13960=t7gq76w1k"	1873	1873	1873	"vulgar"			"Collins, Mortimer"		"Miranda"	"m"	"uk"	49
"uiuo.ark+=13960=t56d6ds4n"	1873	1873	1873	"elite"	8721494	21920824	"Oliphant, Margaret"	"v.2"	"May"	"f"	"uk"	305
"uiuo.ark+=13960=t2k65210v"	1873	1873	1873	"elite"	8721494	21920824	"Oliphant, Margaret"	"v.1"	"May"	"f"	"uk"	305
"nyp.33433076025463"	1873	1873	0	"vulgar"			"McKnight, Charles"		"Old Fort Duquesne"	"m"	"us"	3
"uiuo.ark+=13960=t51g10g4w"	1873	1873	1873	"presentaselite"			"Besant, Walter"		"My little girl"	"m"	"uk"	203
"uc2.ark+=13960=t1sf2mf2p"	1898	1873	1873	"elite"	7682431	4083035	"Peterson, Henry"		"Pemberton, or, One hundred years ago"	"m"	"us"	5
"uc2.ark+=13960=t4bp05k0k"	1899	1873	1873	"elite"	6131783	1806505	"Reade, Charles"		"A simpleton"	"m"	"uk"	259
"loc.ark+=13960=t6nz8x84q"	1873	1873	1873	"elite"	9609749		"Leonowens, Anna Harriette"		"The romance of the harem"	"f"	"uk"	4
"inu.32000006997615"	1873	1873	1873	"elite"	8570178	3508964	"Ritchie, Anne Thackeray"		"Old Kensington"	"f"	"uk"	46
"njp.32101065600601"	1873	1873	1873	"vulgar"			"Whittlesey, Elsie Leigh"		"The hemlock swamp"	"f"	"us"	1
"uc1.b4104445"	1874	1874	1874	"elite"	5946500	961310	"Davis, Rebecca Harding"		"John Andross"	"f"	"us"	19
"uiuo.ark+=13960=t41r7d247"	1874	1874	1874	"vulgar"			"Payn, James"		"The best of husbands"	"m"	"uk"	109
"uc2.ark+=13960=t9w095f33"	1900	1874	1874	"vulgar"			"Southworth, Emma Dorothy Eliza Nevitte"		"Victor's triumph"	"f"	"us"	82
"njp.32101068152857"	1874	1874	1874	"elite"	8967824	3797848	"Hardy, Thomas"		"Desperate remedies"	"m"	"uk"	282
"uiuo.ark+=13960=t19k5018x"	1874	1874	1874	"vulgar"			"Solly, Henry"		"Gerald and his friend the doctor"	"m"	"uk"	8
"njp.32101066457969"	1874	1874	1874	"elite"	8928069	657209	"Cooke, John Esten"		"Pretty Mrs. Gaston"	"m"	"us"	54
"uc2.ark+=13960=t16m33f86"	1874	1874	1874	"elite"	7661708	10891598	"Jay, W. M. L"		"Holden with the cords"	"f"	"uk"	3
"njp.32101068179041"	1874	1874	1874	"vulgar"			"Harwood, John Berwick"		"Lady Livingston's legacy"	"m"	"uk"	12
"uc1.b3327322"	1874	1874	1874	"vulgar"			"Montgomery, Florence"		"Thwarted or Ducks' eggs in a hen's nest"	"f"	"uk"	29
"uc1.b250353"	1874	1874	1874	"vulgar"			"Reade, Compton"		"Rose and Rue"	"f"	"uk"	6
"uc2.ark+=13960=t2n58cz1k"	1874	1874	1874	"vulgar"	6103027		"Roe, Edward Payson"		"Opening a chestnut burr"	"m"	"us"	91
"uiuo.ark+=13960=t8pc3h23p"	1874	1874	0	"vulgar"			"De Jongh, Bertha"		"The sisters Lawless"	"f"	"uk"	6
"uc2.ark+=13960=t8bg2j878"	1874	1874	1874	"vulgar"			"Reid, Christian"		"A daughter of Bohemia;"	"f"	"us"	33
"uiuo.ark+=13960=t2h70xs59"	1875	1875	1875	"elite"	6059197	15139502	"MacDonald, George"	"v.3"	"Malcolm"	"m"	"uk"	144
"mdp.39015046359850"	1900	1875	1875	"elite"			"James, Henry"		"Roderick Hudson"	"m"	"us"	543
"uc2.ark+=13960=t1mg7mm2m"	1875	1875	1875	"elite"	7688224	11232419	"Gift, Theo"		"Pretty Miss Bellew;"	"f"	"uk"	4
"uiuo.ark+=13960=t9183tc29"	1875	1875	1875	"elite"	6059197	15139502	"MacDonald, George"	"v.1"	"Malcolm"	"m"	"uk"	144
"uiuo.ark+=13960=t58d0f39v"	1875	1875	1875	"elite"	6059197	15139502	"MacDonald, George"	"v.2"	"Malcolm"	"m"	"uk"	144
"mdp.39015033520456"	1907	1875	1875	"presentaselite"			"Aldrich, Thomas Bailey"		"The writings of Thomas Bailey Aldrich"	"m"	"us"	114
"uc2.ark+=13960=t15m6701g"	1875	1875	1875	"vulgar"			"Mathers, Helen"		"Comin' thro' the rye"	"f"	"uk"	38
"uiuo.ark+=13960=t20c59n08"	1875	1875	1875	"vulgar"			"Dering, Edward Heneage"		"Sherborne, or, The house at the four ways"	"m"	"uk"	5
"uiuo.ark+=13960=t49p3pp7b"	1875	1875	1875	"vulgar"			"Tabor, Eliza"		"Eglantine"	"f"	"uk"	61
"nyp.33433074940861"	1875	1875	1875	"elite"	8664166	17936028	"Twain, Mark"		"The adventures of Tom Sawyer"	"m"	"us"	509
"uc1.b3322489"	1875	1875	1875	"vulgar"			"Hawthorne, Julian"		"Garth"	"m"	"us"	103
"nyp.33433075763866"	1875	1875	1875	"vulgar"			"Walsingham, Charlotte"		"Annette;"	"f"	"us"	1
"uc2.ark+=13960=t7np1x57p"	1876	1876	1876	"elite"	7660827	16573214	"Hale, Edward Everett"		"Philip Nolan's friends"	"m"	"us"	80
