"docid"	"author"	"title"	"inferreddate"	"latestcomp"	"firstpub"	"allcopiesofwork"	"copiesin25yrs"	"gender"	"nationality"	"earlyedition"	"lastname"	"imprint"	"recordid"	"norton"	"heath"	"nortonshort"	"mostdiscussed"	"preregistered"	"reviewed"	"contrast4reviewed"	"bestseller"
"hvd.hn2rru"	"Scott, Walter,"	"Kenilworth"	1821	1821	1821	30	8	"m"	"uk"	"True"	"Scott"	"Philadelphia;M. Carey ...;1821."	9721263	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433082294244"	"Rowson, Mrs"	"Charlotte Temple"	1977	1824		2	1			"False"	"Rowson"	"St. Clair Shores, MI|Scholarly Press|1977."	7067592	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"hvd.hwkd1u"	"Hook, Theodore Edward,"	"Sayings and doings; or, Sketches from life"	1825	1826	1826	3	3	"m"	"uk"	"True"	"Hook"	"Philadelphia;H.C. Carey and I. Lea;1825."	9719515	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"hvd.hwpwnl"	"Pollok, Robert,"	"The course of time"	1828	1827	1827						"Pollok"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t0xp77r2f"	"Keble, John,"	"The Christian year"	1827	1827	1827						"Keble"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t92808188"	"Lytton, Edward Bulwer Lytton,"	"Pelham, or, The adventures of a gentleman"	1829	1828	1828			"m"	"uk"		"Lytton"	"New-York;J.& J. Harper;Sold by Collins and Hannay;1829."	9793611	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uiuo.ark+=13960=t5t73084p"	"James, G. P. R."	"Richelieu"	1829	1829	1829						"James"		481655	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"mdp.39015013750917"	"Gore, Catherine"	"Mothers and daughters;"	1834	1831	1831	1	1			"True"	"Gore"	"Philadelphia;E. L. Carey & A. Hart;1834."	779296	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433074937578"	"Lytton, Edward Bulwer Lytton,"	"Eugene Aram"	1832	1832	1832			"m"	"uk"		"Lytton"	"New York;J. & J. Harper;1832."	8664052	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433076093040"	"Dickens, Charles,"	"The complete works of Charles Dickens"	1895	1837	1837	1	1	"m"	"uk"	"True"	"Dickens"	"Philadelphia;Gebbie Pub. Co.;c1895"	8662109	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"mdp.39015009209035"	"Dickens, Charles,"	"Nicholas Nickleby"	1838	1838	1838			"m"	"uk"		"Dickens"	"Philadelphia;T. B. Peterson;185-?"	393135	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"hvd.hwp9jz"	"Tupper, Martin Farquhar,"	"Proverbial philosophy"	1840	1838	1838			"m"	"uk"		"Tupper"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433074792726"	"Kirkland, Caroline M. (Caroline Matilda)"	"A new home--who'll follow? : or, Glimpses of western life"	1839	1839		5	4			"True"	"Kirkland"	"New York;C. S. Francis;Boston;J. H. Francis;1839."	8658675	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"dul1.ark+=13960=t9572983r"	"Ingoldsby, Thomas,"	"The Ingoldsby legends"	1848	1840	1840						"Ingoldsby"		10944072	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"hvd.32044090341959"	"Dickens, Charles,"	"Master Humphrey's clock"	1841	1840	1840			"m"	"uk"		"Dickens"	"Paris;A. and W. Galignani and Co.;1841."	8668319	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t0zp3z764"	"Dickens, Charles,"	"The old curiosity shop"	1840	1841	1841			"m"	"uk"		"Dickens"		7657785	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc1.b3324275"	"Lever, Charles James,"	"Charles O'Malley, the Irish dragoon"	1841	1841	1841	26	11	"m"	"uk"	"True"	"Lever"	"Dublin;W. Curry, Jun;1841."	6130872	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"yale.39002014432901"	"Dana, Richard Henry"	"Two years before the mast : a personal narrative of life at sea"	1841	1841		10	1			"True"	"Dana"	"London;E. Moxon;1841."	9832016	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"nyp.33433075732606"	"Sawyer, Caroline M"	"The merchant's widow"	1862	1841	1862			"f"	"us"		"Sawyer"	"New York;H. Lyon;1862."	8669924	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc2.ark+=13960=t3nv9ss49"	"Sedgwick, Catharine Maria"	"Hope Leslie;"	1842	1842		1	1			"True"	"Sedgwick"	"New York;Harper & brothers;1842."	784363	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"mdp.39015039644839"	"Macaulay, Thomas Babington Macaulay,"	"Lays of ancient Rome"	1843	1842	1842						"Macaulay"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433074955141"	"Tennyson, Alfred Tennyson,"	"Poems"	1846	1842	1842						"Tennyson"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433074954482"	"Dickens, Charles,"	"A Christmas carol in prose;"	1846	1843	1843	14	4	"m"	"uk"	"True"	"Dickens"	"Leipzig;B. Tauchnitz;1846."	8668485	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"mdp.39015030996808"	"Stephens, Ann S"	"High life in New York"	1854	1843	1843			"f"	"us"		"Stephens"	"Philadelphia;T. B. Peterson;c1854."	7674103	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"njp.32101059224210"	"Dickens, Charles,"	"Martin Chuzzlewit"	1844	1843	1843			"m"	"uk"		"Dickens"		6672945	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433076030760"	"Poe, Edgar Allan"	"Tales"	1859	1844	1844	23	1	"m"	"us"	"True"	"Poe"	"New York;Blakeman & Mason;1859."	8656704	"False"	"False"	"False"	"True"	"True"	"False"	"False"	"False"
"uva.x000495843"	"Dickens, Charles,"	"The chimes"	1845	1844	1844	3	2	"m"	"uk"	"False"	"Dickens"	"New York;H.S. Nichols;c1914."	9038131	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t0cv4gb2k"	"Disraeli, Benjamin,"	"Coningsby;"	1844	1844	1844			"m"	"uk"		"Disraeli"		7694240	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t9p27542n"	"Dumas, Alexandre,"	"The Count of Monte-Cristo"	1888	1844	1844						"Dumas"		7698091	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc1.b4065727"	"Dumas, Alexandre,"	"The three musketeers"	1893	1844	1844						"Dumas"	"Boston;Estes and Lauriat;1893."	9792974	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t1hh6fx0n"	"Dickens, Charles,"	"The cricket on the hearth"	1890	1845	1845			"m"	"uk"		"Dickens"		7657774	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"wu.89008428005"	"Child, Lydia Maria Francis"	"Letters from New York : second series"	1845	1845		1	1			"True"	"Child"	"New York;C.S. Francis & Co.;1847, c1845."	9891101	"True"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"njp.32101068601978"	"Reynolds, George W. M"	"The mysteries of the court of London"	1852	1845	1845			"m"	"uk"		"Reynolds"	"London;J. Dicks;1852-64."	8691144	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"nyp.33433074954730"	"Dickens, Charles,"	"Dombey and Son"	1855	1846	1846			"m"	"uk"		"Dickens"	"Philadelphia;T.B. Peterson;between 1855 and 1857"	8910929	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433074930177"	"Bronté, Charlotte,"	"Jane Eyre"	1850	1847	1847						"Bronté"	"New York;Harper & Brothers;1850."	8667795	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc1.b4713109"	"Brontë, Charlotte"	"Jane Eyre"	1900	1847	1847	3	1	"f"	"uk"	"False"	"Brontë"	"London;New York;Chesterfield Society;l900?"	11256573	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"False"
"nyp.33433074931118"	"Bronté, Emily,"	"Wuthering Heights"	1848	1847	1847	1	1			"True"	"Bronté"	"New York;Harper & Brothers, Publishers, 82 Cliff Street;1848."	420967	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc1.b4715171"	"Thackeray, William Makepeace,"	"Vanity fair"	1848	1847	1847			"m"	"uk"		"Thackeray"	"New York;Harper & Brothers;1848."	8669299	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"njp.32101007807025"	"Dickens, Charles,"	"The haunted man and the ghost's bargain"	1891	1848	1848	3	2	"m"	"uk"	"True"	"Dickens"	"London;G. Routledge & Sons;1891."	8882524	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433076065741"	"Peppergrass, Paul"	"Shandy M'Guire, or, Tricks upon travellers : being a story of the north of Ireland"	1853	1848	1848			"m"	"ir"		"Peppergrass"	"Boston;P. Donahoe;1853."	6502142	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"nyp.33433074911086"	"Murray, Charles Augustus"	"The trapper's bride; or, Spirit of adventure"	1855	1848	1855			"m"	"uk"		"Murray"	"Louisville;C. Hagan & Co.;1855?"	8669663	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc2.ark+=13960=t46q1vc8h"	"Watson, William Davy"	"Trevethlan"	1851	1848	1851			"m"	"uk"		"Watson"	"London;Smith, Elder;1851."	7693629	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc2.ark+=13960=t6g16058h"	"Ainsworth, William Harrison,"	"Windsor castle"	1844	1849	1849			"m"	"uk"		"Ainsworth"		7685246	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uva.x000192302"	"Poe, Edgar Allan"	"The fall of the house of Usher : and other tales and prose writings of Edgar Poe"	1889	1849		2	1			"False"	"Poe"	"London;Walter Scott;Toronto;W.J. Gage;1889."	9789027	"True"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"njp.32101058459064"	"Dickens, Charles,"	"David Copperfield"	1855	1849	1849	31	6	"m"	"uk"	"True"	"Dickens"	"Philadelphia;T.B. Peterson;between 1855 and 1857"	8908945	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"njp.32101073308494"	"Manning, Anne"	"The maiden & married life of Mary Powell, afterwards Mistress Milton"	1852	1849	1849	8	4	"f"	"uk"	"True"	"Manning"	"New York;D. Appleton;1852."	9013221	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"mdp.39015031908893"	"Collins, Wilkie"	"Antonina;"	1850	1850	1850			"m"	"uk"		"Collins"			"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uc2.ark+=13960=t4wh2fh9b"	"Leighton, John"	"Christmas comes but once a year"	1850	1850	1850			"m"	"uk"		"Leighton"	"London;William Tegg and Co.;1850."	8665601	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc1.b3579114"	"Kimball, Richard B"	"Saint Leger, or, The threads of life"	1850	1850	1850			"m"	"us"		"Kimball"	"New York;G.P. Putnam;1850."	6678331	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc1.b3579270"	"Tennyson, Alfred Tennyson,"	"In memoriam"	1861	1850	1850						"Tennyson"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uva.x000464259"	"Hawthorne, Nathaniel"	"Scarlet Letter"	1900	1850	1850	1	1	"m"	"us"	"False"	"Hawthorne"	"New York;Peter Fenelon Collier & son;1900."	7929342	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"False"
"mdp.39015031909669"	"Collins, Wilkie"	"Antonina;"	1850	1850	1850			"m"	"uk"		"Collins"	"London;R. Bentley;1850."	601440	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uva.x000469901"	"Cooper, James Fenimore"	"The pioneers"	1850	1850		9	2			"True"	"Cooper"	"New York;G. P. Putnam;1850-1851."	9792892	"True"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"mdp.39015031908901"	"Collins, Wilkie"	"Antonina;"	1850	1850	1850			"m"	"uk"		"Collins"	"London;R. Bentley;1850."	601440	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uc2.ark+=13960=t6m043s5h"	"Hall, S. C"	"Stories of the Irish peasantry"	1860	1850	1850	1	1	"f"	"uk"	"True"	"Hall"	"London;Hurst and Blackett;1860."	7688415	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uiuo.ark+=13960=t2697np18"	"Lytton, Rosina Bulwer Lytton"	"Miriam Sedley; or, The tares and the wheat"	1851	1850	1850	3	3	"f"	"uk"	"True"	"Lytton"	"London;W. Shoberl;1851."	8721620	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc2.ark+=13960=t10p0ww49"	"Hawthorne, Nathaniel,"	"The scarlet letter"	1866	1850	1850			"m"	"us"		"Hawthorne"		7680433	"True"	"True"	"False"	"True"	"False"	"True"	"False"	"True"
"uiuo.ark+=13960=t21c2nd9s"	"Warburton, Eliot"	"Reginald Hastings"	1850	1850	1850	1	1	"m"	"ir"	"True"	"Warburton"	"New York;Harper;1850."	6672565	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"mdp.39015014667003"	"Dickens, Charles"	"Great expectations"	1861	1850	1861			"m"	"uk"		"Dickens"	"London;Chapman and Hall ...;1861."	3862375	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uc1.b3321331"	"Cooper, James Fenimore"	"The last of the Mohicans : a narrative of 1757"	1856	1851		27	3			"True"	"Cooper"	"New York;Stringer and Townsend;1856."	7914914	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"uiuo.ark+=13960=t19k4x25q"	"Oliphant, Margaret"	"Merkland"	1851	1851	1851	3	3	"f"	"uk"	"True"	"Oliphant"	"London;H. Colburn;1851."	8721569	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"njp.32101064715665"	"Southworth, Emma Dorothy Eliza Nevitte"	"Shannodale"	1851	1851	1851	1	1	"f"	"us"	"True"	"Southworth"	"New York;D. Appleton;Philadelphia;George S. Appleton;1851."	9246989	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uiuo.ark+=13960=t5fb5p49z"	"Ponsonby, Emily"	"Clare Abbey, or, The trials of youth"	1851	1851	1851	2	2	"f"	"uk"	"True"	"Ponsonby"	"London;Colburn;1851."	8718921	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uiuo.ark+=13960=t5j96qq51"	"Oliphant, Margaret"	"Merkland"	1851	1851	1851	3	3	"f"	"uk"	"True"	"Oliphant"	"London;H. Colburn;1851."	8721569	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uc1.b4717980"	"Reid, Mayne"	"The war trail, or, The hunt of the wild horse"	1860	1851	1851			"m"	"us"		"Reid"	"Nashville, Tenn.;The Author;1860."	9260967	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"nyp.33433074890454"	"Melville, Herman"	"Moby Dick"	1892	1851	1851	16	2	"m"	"us"	"True"	"Melville"	"Boston|Page|c1892"	8667113	"False"	"False"	"False"	"True"	"True"	"False"	"False"	"True"
"uc2.ark+=13960=t8tb0zk22"	"Roe, A. S"	"To love and to be loved"	1851	1851	1851	1	1		"us"	"True"	"Roe"	"New York;D. Appleton & Company;Philadelphia;G.S. Appleton;1851."	7671220	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uiuo.ark+=13960=t81k02901"	"Pinkney, Jane Vaughan"	"The young doctor"	1851	1851	1851	3	3	"f"	"uk"	"True"	"Pinkney"	"London;T.C.Newby;1851."	8724419	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uiuo.ark+=13960=t8w95tp2x"	"Reid, Mayne"	"The scalp hunters"	1851	1851	1851	7	5	"m"	"us"	"True"	"Reid"	"London;Charles J. Skeet.;1851."	8723057	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc1.b3327058"	"Murray, Hamilton"	"Falkenburg"	1851	1851	1851	4	4	"f"	"uk"	"True"	"Murray"	"London;Colburn;1851."	7923004	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"dul1.ark+=13960=t2f77261f"	"Perce, Elbert"	"Gulliver Joi, his three voyages"	1852	1851	1851			"m"	"us"		"Perce"	"New York;Charles Scribner;1852."	11266334	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uiuo.ark+=13960=t6834cj82"	"Oliphant, Margaret"	"Merkland"	1851	1851	1851	3	3	"f"	"uk"	"True"	"Oliphant"	"London;H. Colburn;1851."	8721569	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uiuo.ark+=13960=t0tq6857p"	"Dalrymple, J. Elphinstone"	"The Livingstones"	1851	1851	1851	3	3	"f"	"uk"	"True"	"Dalrymple"	"London;Colburn;1851."	8721272	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"nyp.33433074872015"	"Howitt, Mary Botham"	"The heir of Wast-Wayland"	1851	1851	1851	2	2	"f"	"uk"	"True"	"Howitt"	"New York;D. Appleton;1851."	8665433	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uiuo.ark+=13960=t0tq6hk31"	"Ponsonby, Emily"	"Clare Abbey, or, The trials of youth"	1851	1851	1851	2	2	"f"	"uk"	"True"	"Ponsonby"	"London;Colburn;1851."	8718921	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uc2.ark+=13960=t2h708h89"	"Pearson, Emily C"	"Jamie Parker, the fugitive"	1851	1851	1851	1	1	"f"	"us"	"True"	"Pearson"	"Hartford;Brockett, Fuller and co.;1851."	9262730	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uiuo.ark+=13960=t9086r70j"	"Daniel, Mackenzie"	"Fernley Manor"	1851	1851	1851	3	3	"f"	"uk"	"True"	"Daniel"	"London;T.C. Newby;1851."	8719725	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uva.x030802597"	"Knight, Helen C"	"chi.35738102"	1851	1851	1851			"f"	"us"		"Knight"	"Philadelphia;American Sunday-School Union;1851."	8655167	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc1.b4145140"	"Stowe, Harriet Beecher"	"Uncle Tom's cabin"	1852	1851	1851	18	2	"f"	"us"	"True"	"Stowe"	"London|J. Cassell|1852"	6166384	"True"	"True"	"False"	"False"	"False"	"True"	"False"	"True"
"uva.x030497933"	"Hawthorne, Nathaniel"	"The house of the seven gables : and The snow image and other Twice-told tales--"	1871	1851		25	5			"True"	"Hawthorne"	"Boston;Osgood;1871, c1851."	9793393	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"njp.32101068154598"	"Luke, Jemima Thompson"	"The female Jesuit;"	1860	1851	1851	1	1	"f"	"uk"	"True"	"Luke"	"Philadelphia;J. E. Potter and company;1860"	7652266	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"nyp.33433074901996"	"Mitchell, Donald Grant"	"Dream life"	1869	1851	1851	3	2	"m"	"us"	"True"	"Mitchell"	"New York;C. Scribner and company;1869, [c1863"	7694550	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"mdp.39015064466116"	"Borrow, George Henry"	"Lavengro;"	1851	1851	1851	14	3	"m"	"uk"	"True"	"Borrow"	"London;J. Murray;1851."	326943	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"mdp.39015063516614"	"Borrow, George Henry"	"Lavengro;"	1851	1851	1851	14	3	"m"	"uk"	"True"	"Borrow"	"London;J. Murray;1851."	326943	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uiuo.ark+=13960=t23b6qj6r"	"Borrow, George Henry"	"Lavengro;"	1851	1851	1851	14	3	"m"	"uk"	"True"	"Borrow"	"London;J. Murray;1851."	326943	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uc2.ark+=13960=t3st7fj83"	"Douglass, Frederick"	"Narrative of the life of Frederick Douglass, an American slave"	1852	1852		1	1			"True"	"Douglass"	"London;G. Kershaw and Son;1852"	9259212	"True"	"True"	"False"	"True"	"False"	"False"	"False"	"False"
"uiuo.ark+=13960=t6xw4qm1j"	"Cole, Alfred Whaley"	"Hope"	1853	1852	1852	2	2	"m"	"uk"	"True"	"Cole"	"London;T.C. Newby;1853."	8720437	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
"uc1.b250586"	"Sinclair, Catherine"	"Beatrice, or, The unknown relatives"	1852	1852	1852			"f"	"uk"		"Sinclair"	"London;R. Bentley;1852."	6502576	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"uc1.b250587"	"Sinclair, Catherine"	"Beatrice, or, The unknown relatives"	1852	1852	1852			"f"	"uk"		"Sinclair"	"London;R. Bentley;1852."	6502576	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"
"mdp.39015004956234"	"Stowe, Harriet Beecher,"	"Uncle Tom's cabin, or, Life among the lowly"	1852	1852	1852	10	2	"f"	"us"	"True"	"Stowe"	"Boston;John P. Jewett & Co.;Cleveland, Ohio;Jewett, Proctor & Worthington;1852, c1851.;(Boston;Geo. C. Rand & Co.)."	4681479	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t1xd10385"	"Bennett, Emerson"	"Viola; or, Adventures in the far South-west"	1852	1852	1852	3	3	"m"	"us"	"True"	"Bennett"	"Philadelphia;T.B. Peterson;c1852"	7915069	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"
